kpi_name,full_date,value,value_type,year,week_number,mine_name,department_name,reporting_date_id,department_id,mine_id
OP - Other Tonnes Moved,2024-08-30,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Other Tonnes Moved,2024-08-31,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Other Tonnes Moved,2024-09-01,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Strip Ratio,2024-08-26,59.680304,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Strip Ratio,2024-08-27,44.800988,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Strip Ratio,2024-08-28,19.345872,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Strip Ratio,2024-08-29,7.183547,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Strip Ratio,2024-08-30,10.599962,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Strip Ratio,2024-08-31,49.914639,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Strip Ratio,2024-09-01,7.819212,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Strip Ratio,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Strip Ratio,2024-08-27,152.433526,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Strip Ratio,2024-08-28,17.139767,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Strip Ratio,2024-08-29,17.253549,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Strip Ratio,2024-08-30,11.568575,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Strip Ratio,2024-08-31,17.508228,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Strip Ratio,2024-09-01,10.644814,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Contained Au,2024-08-26,145.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Contained Au,2024-08-27,288.160000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Contained Au,2024-08-28,231.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Contained Au,2024-08-29,624.330000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Contained Au,2024-08-30,475.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Contained Au,2024-08-31,81.310000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Contained Au,2024-09-01,526.470000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Contained Au,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Contained Au,2024-08-27,21.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Contained Au,2024-08-28,331.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Contained Au,2024-08-29,239.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Contained Au,2024-08-30,512.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Contained Au,2024-08-31,302.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Contained Au,2024-09-01,533.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Grade Mined,2024-08-26,2.145578,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Grade Mined,2024-08-27,3.162589,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Grade Mined,2024-08-28,1.422471,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Grade Mined,2024-08-29,1.420024,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Grade Mined,2024-08-30,1.399863,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Grade Mined,2024-08-31,1.042896,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Grade Mined,2024-09-01,1.085591,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Grade Mined,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Grade Mined,2024-08-27,0.943892,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Grade Mined,2024-08-28,1.871183,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Grade Mined,2024-08-29,1.241645,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Grade Mined,2024-08-30,1.951830,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Grade Mined,2024-08-31,1.644477,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Grade Mined,2024-09-01,1.682378,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Blasted Material,2024-08-26,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Blasted Material,2024-08-27,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Blasted Material,2024-08-28,31725.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Blasted Material,2024-08-29,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Blasted Material,2024-08-30,12880.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Blasted Material,2024-08-31,68650.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Blasted Material,2024-09-01,13500.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Blasted Material,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Blasted Material,2024-08-27,31725.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Blasted Material,2024-08-28,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Blasted Material,2024-08-29,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Blasted Material,2024-08-30,110740.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Blasted Material,2024-08-31,85420.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Blasted Material,2024-09-01,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Broken Stock,2024-08-26,486413.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Broken Stock,2024-08-27,447990.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Broken Stock,2024-08-28,447990.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Broken Stock,2024-08-29,427970.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Broken Stock,2024-08-30,415165.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Broken Stock,2024-08-31,456059.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Broken Stock,2024-09-01,398022.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Broken Stock,2024-08-26,524022.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Broken Stock,2024-08-27,555747.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Broken Stock,2024-08-28,555747.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Broken Stock,2024-08-29,555747.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Broken Stock,2024-08-30,666487.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Broken Stock,2024-08-31,751907.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Broken Stock,2024-09-01,751907.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Production Drilling,2024-08-26,1496.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Production Drilling,2024-08-27,1517.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Production Drilling,2024-08-28,1151.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Production Drilling,2024-08-29,1687.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Production Drilling,2024-08-30,1487.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Production Drilling,2024-08-31,1740.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Production Drilling,2024-09-01,2211.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Production Drilling,2024-08-26,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Production Drilling,2024-08-27,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Production Drilling,2024-08-28,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Production Drilling,2024-08-29,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Production Drilling,2024-08-30,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Production Drilling,2024-08-31,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Production Drilling,2024-09-01,1893.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Pre-Split Drilling,2024-08-26,350.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Pre-Split Drilling,2024-08-27,95.200000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Pre-Split Drilling,2024-08-28,71.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Pre-Split Drilling,2024-08-29,191.800000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Pre-Split Drilling,2024-08-30,108.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Pre-Split Drilling,2024-08-31,201.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Pre-Split Drilling,2024-09-01,782.700000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Pre-Split Drilling,2024-08-26,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Pre-Split Drilling,2024-08-27,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Pre-Split Drilling,2024-08-28,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Pre-Split Drilling,2024-08-29,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Pre-Split Drilling,2024-08-30,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Pre-Split Drilling,2024-08-31,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Pre-Split Drilling,2024-09-01,339.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Drill Metres,2024-08-26,1846.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Drill Metres,2024-08-27,1612.200000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Drill Metres,2024-08-28,1222.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Drill Metres,2024-08-29,1878.800000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Drill Metres,2024-08-30,1595.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Drill Metres,2024-08-31,1941.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
